Country,Date,Tend to trust,Tend not to trust,DK - Don't know
Albania,08-11-14,0.140977444,0.784774436,0.07424812
Albania,16-05-15,0.159,0.763,0.078
Albania,21-05-16,0.268972142,0.634005764,0.097022094
Albania,03-11-16,0.283783784,0.674710425,0.041505792
Albania,20-05-17,0.301939058,0.636195753,0.061865189
Albania,05-11-17,0.358095238,0.616190476,0.025714286
Albania,17-03-18,0.315839695,0.667938931,0.016221374
Albania,08-11-18,0.296472831,0.684461392,0.019065777
Albania,07-06-19,0.215920398,0.768159204,0.015920398
Albania,14-11-19,0.198852772,0.731357553,0.069789675
Austria,14-11-00,0.211020709,0.693967057,0.095012234
Austria,12-04-01,0.233177163,0.657628851,0.109193987
Austria,13-10-01,0.247510841,0.675597514,0.076891646
Austria,29-03-02,0.249431001,0.651177019,0.099391981
Austria,18-03-03,0.195871347,0.694946128,0.109182525
Austria,01-10-03,0.193296409,0.723458113,0.083245478
Austria,20-02-04,0.185716274,0.706447032,0.107836694
Austria,02-10-04,0.227634195,0.707753479,0.064612326
Austria,09-05-05,0.312,0.632,0.056
Austria,11-10-05,0.276470588,0.63627451,0.087254902
Austria,27-03-06,0.376597837,0.530973451,0.092428712
Austria,06-09-06,0.279252704,0.618485742,0.102261554
Austria,22-09-07,0.297536946,0.613793103,0.088669951
Austria,25-03-08,0.299,0.597,0.104
Austria,06-10-08,0.382851446,0.533399801,0.083748754
Austria,12-06-09,0.401574803,0.530511811,0.067913386
Austria,23-10-09,0.362135922,0.561165049,0.076699029
Austria,05-05-10,0.401401401,0.546546547,0.052052052
Austria,11-11-10,0.273273273,0.672672673,0.054054054
Austria,05-11-11,0.2997003,0.639360639,0.060939061
Austria,12-05-12,0.359879032,0.591733871,0.048387097
Austria,03-11-12,0.327291037,0.607250755,0.065458207
Austria,10-05-13,0.364364364,0.561561562,0.074074074
Austria,02-11-13,0.341085271,0.591085271,0.067829457
Austria,31-05-14,0.232767233,0.723276723,0.043956044
Austria,08-11-14,0.281007752,0.658914729,0.060077519
Austria,16-05-15,0.255566312,0.671829622,0.072604066
Austria,07-11-15,0.218562874,0.730538922,0.050898204
Austria,21-05-16,0.268031189,0.634502924,0.097465887
Austria,03-11-16,0.260487805,0.677073171,0.062439024
Austria,20-05-17,0.332,0.606,0.062
Austria,05-11-17,0.337598425,0.602362205,0.06003937
Austria,17-03-18,0.360923965,0.588065448,0.051010587
Austria,08-11-18,0.328078818,0.613793103,0.058128079
Austria,07-06-19,0.326810176,0.63111546,0.042074364
Austria,14-11-19,0.326450344,0.618485742,0.055063913
Belgium,14-11-00,0.211910245,0.71729267,0.070797085
Belgium,12-04-01,0.169469914,0.710124451,0.120405635
Belgium,13-10-01,0.185581346,0.73730482,0.077113834
Belgium,29-03-02,0.222651823,0.68507526,0.092272917
Belgium,18-03-03,0.215436298,0.712486975,0.072076727
Belgium,01-10-03,0.22443478,0.720109632,0.055455588
Belgium,20-02-04,0.197857294,0.730036524,0.072106183
Belgium,02-10-04,0.227926078,0.726899384,0.045174538
Belgium,09-05-05,0.298,0.66,0.042
Belgium,11-10-05,0.23828125,0.731445313,0.030273438
Belgium,27-03-06,0.287952987,0.688540646,0.023506366
Belgium,06-09-06,0.295114656,0.670987039,0.033898305
Belgium,22-09-07,0.292563601,0.686888454,0.020547945
Belgium,25-03-08,0.276171486,0.705882353,0.017946162
Belgium,06-10-08,0.250499002,0.73752495,0.011976048
Belgium,12-06-09,0.284842319,0.697863683,0.017293998
Belgium,23-10-09,0.213717694,0.769383698,0.016898608
Belgium,05-05-10,0.204142012,0.774161736,0.021696252
Belgium,11-11-10,0.202392822,0.778664008,0.01894317
Belgium,05-11-11,0.240272374,0.739299611,0.020428016
Belgium,12-05-12,0.32,0.666976744,0.013023256
Belgium,03-11-12,0.232783705,0.754607177,0.012609117
Belgium,10-05-13,0.339920949,0.645256917,0.014822134
Belgium,02-11-13,0.261523989,0.716839135,0.021636877
Belgium,31-05-14,0.295454545,0.659090909,0.045454545
Belgium,08-11-14,0.176823177,0.786213786,0.036963037
Belgium,16-05-15,0.198224852,0.75443787,0.047337278
Belgium,07-11-15,0.206595538,0.751697381,0.041707081
Belgium,21-05-16,0.1812749,0.752988048,0.065737052
Belgium,03-11-16,0.207233627,0.759530792,0.033235582
Belgium,20-05-17,0.208780488,0.765853659,0.025365854
Belgium,05-11-17,0.223880597,0.754228856,0.021890547
Belgium,17-03-18,0.188715953,0.791828794,0.019455253
Belgium,08-11-18,0.271455224,0.692164179,0.036380597
Belgium,07-06-19,0.190926276,0.787334594,0.02173913
Belgium,14-11-19,0.210474308,0.7756917,0.013833992
Bulgaria,02-10-04,0.106573705,0.782868526,0.110557769
Bulgaria,09-05-05,0.10805501,0.827111984,0.064833006
Bulgaria,11-10-05,0.097902098,0.835164835,0.066933067
Bulgaria,27-03-06,0.102463054,0.842364532,0.055172414
Bulgaria,06-09-06,0.103381643,0.817391304,0.079227053
Bulgaria,22-09-07,0.067553736,0.779938588,0.152507677
Bulgaria,25-03-08,0.091,0.829,0.08
Bulgaria,06-10-08,0.068656716,0.859701493,0.071641791
Bulgaria,12-06-09,0.129032258,0.825024438,0.045943304
Bulgaria,23-10-09,0.124007937,0.791666667,0.084325397
Bulgaria,05-05-10,0.145,0.78,0.075
Bulgaria,11-11-10,0.133,0.792,0.075
Bulgaria,05-11-11,0.144566301,0.759720837,0.095712861
Bulgaria,12-05-12,0.162401575,0.779527559,0.058070866
Bulgaria,03-11-12,0.139215686,0.794117647,0.066666667
Bulgaria,10-05-13,0.150631681,0.789115646,0.060252672
Bulgaria,02-11-13,0.115758755,0.811284047,0.072957198
Bulgaria,31-05-14,0.176908752,0.754189944,0.068901304
Bulgaria,08-11-14,0.103379722,0.820079523,0.076540755
Bulgaria,16-05-15,0.118532455,0.798682973,0.082784572
Bulgaria,07-11-15,0.126570048,0.796135266,0.077294686
Bulgaria,21-05-16,0.112304688,0.818359375,0.069335938
Bulgaria,03-11-16,0.116485686,0.799605133,0.083909181
Bulgaria,20-05-17,0.15503876,0.792635659,0.052325581
Bulgaria,05-11-17,0.126666667,0.781904762,0.091428571
Bulgaria,17-03-18,0.13385063,0.770126091,0.096023278
Bulgaria,08-11-18,0.11208577,0.804093567,0.083820663
Bulgaria,07-06-19,0.148255814,0.752906977,0.098837209
Bulgaria,14-11-19,0.127045236,0.763233879,0.109720885
Cyprus,02-10-04,0.258517034,0.675350701,0.066132265
Cyprus,09-05-05,0.205940594,0.720792079,0.073267327
Cyprus,11-10-05,0.193612774,0.756487026,0.0499002
Cyprus,27-03-06,0.197628458,0.701581028,0.100790514
Cyprus,06-09-06,0.236580517,0.677932406,0.085487078
Cyprus,22-09-07,0.166,0.782,0.052
Cyprus,25-03-08,0.327380952,0.630952381,0.041666667
Cyprus,06-10-08,0.286282306,0.654075547,0.059642147
Cyprus,12-06-09,0.267326733,0.675247525,0.057425743
Cyprus,23-10-09,0.193675889,0.750988142,0.055335968
Cyprus,05-05-10,0.230769231,0.717948718,0.051282051
Cyprus,11-11-10,0.178571429,0.765873016,0.055555556
Cyprus,05-11-11,0.08531746,0.867063492,0.047619048
Cyprus,12-05-12,0.132673267,0.80990099,0.057425743
Cyprus,03-11-12,0.091451292,0.878727634,0.029821074
Cyprus,10-05-13,0.102970297,0.863366337,0.033663366
Cyprus,02-11-13,0.067594433,0.914512922,0.017892644
Cyprus,31-05-14,0.126,0.836,0.038
Cyprus,08-11-14,0.06012024,0.911823647,0.028056112
Cyprus,16-05-15,0.058,0.92,0.022
Cyprus,07-11-15,0.066,0.874,0.06
Cyprus,21-05-16,0.063872255,0.886227545,0.0499002
Cyprus,03-11-16,0.092184369,0.851703407,0.056112224
Cyprus,20-05-17,0.076152305,0.887775551,0.036072144
Cyprus,05-11-17,0.078,0.882,0.04
Cyprus,17-03-18,0.103174603,0.845238095,0.051587302
Cyprus,08-11-18,0.096837945,0.843873518,0.059288538
Cyprus,07-06-19,0.102970297,0.871287129,0.025742574
Cyprus,14-11-19,0.097029703,0.871287129,0.031683168
Turkish Cypriot Community,02-10-04,0.252,0.678,0.07
Turkish Cypriot Community,09-05-05,0.404,0.524,0.072
Turkish Cypriot Community,11-10-05,0.302,0.588,0.11
Turkish Cypriot Community,27-03-06,0.332,0.626,0.042
Turkish Cypriot Community,06-09-06,0.274,0.652,0.074
Turkish Cypriot Community,22-09-07,0.13,0.79,0.08
Turkish Cypriot Community,25-03-08,0.214,0.654,0.132
Turkish Cypriot Community,06-10-08,0.218,0.72,0.062
Turkish Cypriot Community,12-06-09,0.242,0.688,0.07
Turkish Cypriot Community,23-10-09,0.184,0.748,0.068
Turkish Cypriot Community,05-05-10,0.33,0.61,0.06
Turkish Cypriot Community,11-11-10,0.208,0.716,0.076
Turkish Cypriot Community,05-11-11,0.266,0.682,0.052
Turkish Cypriot Community,12-05-12,0.124,0.804,0.072
Turkish Cypriot Community,03-11-12,0.186372745,0.731462926,0.082164329
Turkish Cypriot Community,10-05-13,0.134,0.828,0.038
Turkish Cypriot Community,02-11-13,0.192,0.714,0.094
Turkish Cypriot Community,31-05-14,0.29,0.624,0.086
Czechia,02-10-04,0.098604651,0.84744186,0.053953488
Czechia,09-05-05,0.109879963,0.853185596,0.036934441
Czechia,11-10-05,0.11369509,0.84496124,0.041343669
Czechia,27-03-06,0.153558052,0.815543071,0.030898876
Czechia,06-09-06,0.143119266,0.82293578,0.033944954
Czechia,22-09-07,0.109403255,0.849909584,0.040687161
Czechia,25-03-08,0.115384615,0.857988166,0.026627219
Czechia,06-10-08,0.123661149,0.851996105,0.024342746
Czechia,12-06-09,0.153424658,0.825570776,0.021004566
Czechia,23-10-09,0.123106061,0.854166667,0.022727273
Czechia,05-05-10,0.120470127,0.859941234,0.019588639
Czechia,11-11-10,0.122926829,0.853658537,0.023414634
Czechia,05-11-11,0.093812375,0.881237525,0.0249501
Czechia,12-05-12,0.088822355,0.896207585,0.01497006
Czechia,03-11-12,0.082834331,0.902195609,0.01497006
Czechia,10-05-13,0.099800399,0.889221557,0.010978044
Czechia,02-11-13,0.111111111,0.871871872,0.017017017
Czechia,31-05-14,0.142433234,0.829871414,0.027695351
Czechia,08-11-14,0.11943128,0.847393365,0.033175355
Czechia,16-05-15,0.099902057,0.86287953,0.037218413
Czechia,07-11-15,0.127218935,0.818540434,0.054240631
Czechia,21-05-16,0.133141762,0.814176245,0.052681992
Czechia,03-11-16,0.12250996,0.851593625,0.025896414
Czechia,20-05-17,0.09486166,0.875494071,0.029644269
Czechia,05-11-17,0.131243879,0.835455436,0.033300686
Czechia,17-03-18,0.159503343,0.808978032,0.031518625
Czechia,08-11-18,0.113886114,0.844155844,0.041958042
Czechia,07-06-19,0.165338645,0.804780876,0.029880478
Czechia,14-11-19,0.16765286,0.800788955,0.031558185
Germany,14-11-00,0.170983074,0.721586705,0.107430222
Germany,12-04-01,0.162627207,0.69640999,0.140962803
Germany,13-10-01,0.165436297,0.734492338,0.100071364
Germany,29-03-02,0.171463742,0.721123125,0.107413133
Germany,18-03-03,0.113390885,0.792774183,0.093834932
Germany,01-10-03,0.114983504,0.797185582,0.087830914
Germany,20-02-04,0.112274693,0.805609743,0.082115564
Germany,02-10-04,0.131391586,0.826537217,0.042071197
Germany,09-05-05,0.181578947,0.782894737,0.035526316
Germany,11-10-05,0.177198697,0.786970684,0.035830619
Germany,27-03-06,0.216764898,0.750491159,0.032743942
Germany,06-09-06,0.146885246,0.798688525,0.05442623
Germany,22-09-07,0.182902584,0.750828363,0.066269052
Germany,25-03-08,0.177314211,0.767275098,0.055410691
Germany,06-10-08,0.220183486,0.726736566,0.053079948
Germany,12-06-09,0.241946088,0.707429323,0.050624589
Germany,23-10-09,0.202113606,0.743725231,0.054161162
Germany,05-05-10,0.190759076,0.76369637,0.045544554
Germany,11-11-10,0.146583851,0.79378882,0.059627329
Germany,05-11-11,0.149544863,0.78153446,0.068920676
Germany,12-05-12,0.240346205,0.71171771,0.047936085
Germany,03-11-12,0.209987196,0.725352113,0.064660691
Germany,10-05-13,0.24967825,0.681467181,0.068854569
Germany,02-11-13,0.21257291,0.723914452,0.063512638
Germany,31-05-14,0.300952381,0.636190476,0.062857143
